Dept,JobDate,jobno,Vehicleid,UnitNo,Reason,Notes,CostParts,CostLabor,CostTotal
2111,03/06/2015 12:00:00 AM,14571,1224,222,13    SNOW BREAKDOWN,PLOW CABLEROAD CALL TO SCOFIELD YARD,20,0,20
2111,01/05/2015 12:00:00 AM,14169,A00413      ,283,04    DRIVER'S REPORT,DOG BONE PIN BROKEN,20,0,20
2143,01/14/2015 12:00:00 AM,14054,229004,379,04    DRIVER'S REPORT,INSTALL TARP ON UNIT (SEE JIM FASOLI IN THIS REGARD),20,0,20
2111,03/30/2015 12:00:00 AM,14833,52565,626,04    DRIVER'S REPORT,LIFT DOES NOT WORK,20,0,20
2135,02/27/2015 12:00:00 AM,14295,Y14264      ,531,04    DRIVER'S REPORT,CHECK FOR HYD LEAK,19.90,0,19.90
2135,02/09/2015 12:00:00 AM,14526,512810,50,13    SNOW BREAKDOWN,PLOW BOLTSWINDOW WASH FLUID,19.78,0,19.78
2111,03/16/2015 12:00:00 AM,14786,525998,217,04    DRIVER'S REPORT,NEEDS BRACKET FOR MUDFLAP,19.44,0,19.44
2111,03/02/2015 12:00:00 AM,14625,621908,125,13    SNOW BREAKDOWN,REPLACE WIPERS,18.95,0,18.95
2111,02/06/2015 12:00:00 AM,14438,68937,144,13    SNOW BREAKDOWN,PLOW CABLE SHACKLE,18.95,0,18.95
2111,02/04/2015 12:00:00 AM,14407,68934,146,40    NEGLIGENCE,RIGHT FRONT HUB CAP BROKEN,18.78,0,18.78
2143,01/06/2015 12:00:00 AM,14115,48877,373,04    DRIVER'S REPORT,HYDRA LEAK ON DRIVER'S SIDE TOTER CART HANDLE,18.5,0,18.5
2111,03/27/2015 12:00:00 AM,14850,B34632      ,276,04    DRIVER'S REPORT,CHECK PLOW LIGHTS & GREASE FITTING ON SPINNER SHAFT,18.46,0,18.46
2111,01/26/2015 12:00:00 AM,14333,621922,212,13    SNOW BREAKDOWN,"REPLACE WIPER BLADES , CHECK FLUIDS.",18.35,0,18.35
2111,01/13/2015 12:00:00 AM,14180,766153,248,04    DRIVER'S REPORT,NEED WIPER BLADES,18.35,0,18.35
2135,03/06/2015 12:00:00 AM,14720,D22892      ,451,04    DRIVER'S REPORT,"CHECK PLOW BLADE, & PLOW PUMP OIL",18.08,0,18.08
2111,02/06/2015 12:00:00 AM,14483,1365,244,13    SNOW BREAKDOWN,NO TAIL LIGHTS LEFT SIDECHANGE FUEL FILTERS,18.01,0,18.01
2111,02/06/2015 12:00:00 AM,14474,1225,119,13    SNOW BREAKDOWN,LOW COOLANTCHECK CONVEYOR,18,0,18
2111,03/06/2015 12:00:00 AM,14728,1628,236,13    SNOW BREAKDOWN,CHECK FLUIDS,18,0,18
2111,01/30/2015 12:00:00 AM,14318,1628,236,13    SNOW BREAKDOWN,LIGHT ON IN DASH,18,0,18
2111,03/06/2015 12:00:00 AM,14685,1628,236,13    SNOW BREAKDOWN,ANTIFREEZE LEAK,18,0,18
2111,03/02/2015 12:00:00 AM,14424,1628,236,13    SNOW BREAKDOWN,LIGHT ON IN DASH,18,0,18
2135,01/20/2015 12:00:00 AM,14281,242480,428,04    DRIVER'S REPORT,CHECK GAS PEDDLE,18,0,18
2111,02/13/2015 12:00:00 AM,14537,621923,211,13    SNOW BREAKDOWN,ADJUST CONVEYOR,17.39,0,17.39
2111,02/26/2015 12:00:00 AM,14568,574950,215,13    SNOW BREAKDOWN,NO PLOW LIGHTS,17.39,0,17.39
2111,03/16/2015 12:00:00 AM,14730,621921,214,13    SNOW BREAKDOWN,CHECK SHACKLE ON R/SIDE OF PLOW,17.37,0,17.37
2143,01/30/2015 12:00:00 AM,14371,B90933      ,34,13    SNOW BREAKDOWN,WIPER BLADES,16.56,0,16.56
2111,01/30/2015 12:00:00 AM,14369,68933,148,13    SNOW BREAKDOWN,WIPER BLADES,16.19,0,16.19
2121,01/07/2015 12:00:00 AM,14200,A97772      ,94,04    DRIVER'S REPORT,NEEDS STARTING FLUID FOR SERVICE TRUCK,15.96,0,15.96
2143,02/17/2015 12:00:00 AM,14590,50761,363,04    DRIVER'S REPORT,NEEDS A FLASHER/2 BULBS/JIM F,15.7,0,15.7
2111,01/26/2015 12:00:00 AM,14335,1224,222,40    NEGLIGENCE,NEEDS MIRROR,15.63,0,15.63
2142,01/26/2015 12:00:00 AM,14312,48878,346,04    DRIVER'S REPORT,NO HIGH BEAMS PACKER STOPPED WORKING,15.24,0,15.24
2111,02/04/2015 12:00:00 AM,14432,B20087      ,619,13    SNOW BREAKDOWN,PLOW BLADE BOLTS,15,0,15
2111,02/13/2015 12:00:00 AM,14518,621922,212,04    DRIVER'S REPORT,NEEDS PLOW HOOK,15,0,15
2111,01/26/2015 12:00:00 AM,14322,68932,147,04    DRIVER'S REPORT,CHECK FLUIDS,14.77,0,14.77
2111,02/13/2015 12:00:00 AM,14441,68934,146,13    SNOW BREAKDOWN,PLOW GUIDE CHECK HEATED MIRRORS,14.53,0,14.53
2135,02/23/2015 12:00:00 AM,14612,170716,54,04    DRIVER'S REPORT,needs floor matts/mike k,14.49,0,14.49
2135,01/12/2015 12:00:00 AM,14231,271149,429,04    DRIVER'S REPORT,NEEDS WIPER BLADES,14.4,0,14.4
2111,03/06/2015 12:00:00 AM,14686,1227,241,13    SNOW BREAKDOWN,CHECK WIPER BLADES,14.4,0,14.4
2111,03/16/2015 12:00:00 AM,14753,1222,118,13    SNOW BREAKDOWN,CHECK WIPERS,14.4,0,14.4
2111,03/02/2015 12:00:00 AM,14627,1468,120,13    SNOW BREAKDOWN,REPLACE WIPER BLADES,14.4,0,14.4
2111,02/13/2015 12:00:00 AM,14535,A72170      ,632,04    DRIVER'S REPORT,"NEEDS WASHER FLUID ,1QT OIL",14.4,0,14.4
2111,01/22/2015 12:00:00 AM,14293,1224,222,04    DRIVER'S REPORT,NEEDS Wiper blades,14.4,0,14.4
2111,02/04/2015 12:00:00 AM,14440,B31275      ,110,13    SNOW BREAKDOWN,WIPER BLADES,14.4,0,14.4
2135,01/12/2015 12:00:00 AM,14230,D12433      ,444,04    DRIVER'S REPORT,NEEDS WIPER BLADES/KEVIN,14.4,0,14.4
2111,02/02/2015 12:00:00 AM,14445,1243,116,13    SNOW BREAKDOWN,WIPER BLADES,14.4,0,14.4
2143,01/26/2015 12:00:00 AM,14308,535231,374,04    DRIVER'S REPORT,CHECK LIGHTS,14.36,0,14.36
2111,01/07/2015 12:00:00 AM,14196,1222,118,04    DRIVER'S REPORT,HARDWARE FOR REAR SPRINGS,14.32,0,14.32
2135,01/30/2015 12:00:00 AM,14323,D12433      ,444,04    DRIVER'S REPORT,NO PLOW LIGHTS,13.86,0,13.86
2135,03/06/2015 12:00:00 AM,14762,512810,50,13    SNOW BREAKDOWN,PLOW LIGHT OUTGUIDES,13.86,0,13.86
2135,02/06/2015 12:00:00 AM,14486,Y14264      ,531,04    DRIVER'S REPORT,NEEDS  LIGHTS BULBS/,13.66,0,13.66
2111,01/06/2015 12:00:00 AM,14155,525670,232,04    DRIVER'S REPORT,HYD CAP CHECK ENGINE LIGHT ON,12.95,0,12.95
2135,02/25/2015 12:00:00 AM,14609,B71793      ,59,04    DRIVER'S REPORT,NEEDS PLOW LIGHT,12.39,0,12.39
2111,01/14/2015 12:00:00 AM,14205,D14803      ,611,40    NEGLIGENCE,lost gas cap/taken by carl,11.91,0,11.91
2111,01/30/2015 12:00:00 AM,14315,B31276      ,177,04    DRIVER'S REPORT,PLOW COUPLER,11.84,0,11.84
2111,01/26/2015 12:00:00 AM,14324,B31275      ,110,04    DRIVER'S REPORT,PLOW COUPLER,11.84,0,11.84
2143,01/13/2015 12:00:00 AM,14240,229004,379,04    DRIVER'S REPORT,RIGHT HEAD LIGHT OUT,11.81,0,11.81
2111,02/24/2015 12:00:00 AM,14313,525999,114,04    DRIVER'S REPORT,NO PLOW LIGHTS,11.79,0,11.79
2143,02/04/2015 12:00:00 AM,14455,228151,378,04    DRIVER'S REPORT,LEFT HEAD LIGHT OUT,11.7,0,11.7
2143,03/02/2015 12:00:00 AM,14334,B90933      ,34,04    DRIVER'S REPORT,PLOW PINS,11.61,0,11.61
2142,01/22/2015 12:00:00 AM,14302,48878,346,04    DRIVER'S REPORT,NEEDS A FLASHER,11.04,0,11.04
2143,02/04/2015 12:00:00 AM,14477,49328,358,04    DRIVER'S REPORT,NEEDS FLASHER,11.04,0,11.04
2143,01/15/2015 12:00:00 AM,14261,50549,360,04    DRIVER'S REPORT,NEEDS A RELAY/JIM F,11.04,0,11.04
2121,03/26/2015 12:00:00 AM,14929,348543,61,04    DRIVER'S REPORT,WASHCLASSIC 3-D CAR CAREINVOICE AD-0215$11.00,11,0,11
2141,01/20/2015 12:00:00 AM,14283,323009,384,40    NEGLIGENCE,NEEDS MIRROR/JIM F,10.94,0,10.94
2111,01/09/2015 12:00:00 AM,14212,337655,234,04    DRIVER'S REPORT,NOISE AT IDLE,10.79,0,10.79
2139,01/15/2015 12:00:00 AM,14268,131049,643,04    DRIVER'S REPORT,TOOK A CASE OF WASHER FLUID,10.74,0,10.74
2210,02/06/2015 12:00:00 AM,14496,311542,11,13    SNOW BREAKDOWN,CHECK PLOW LOW ON FLUID,10.72,0,10.72
2111,02/04/2015 12:00:00 AM,14393,337657,218,13    SNOW BREAKDOWN,SPINNER LIGHTCONVOYOR CHAIN HITTING WHEN SIDE DUMP UP,10.61,0,10.61
2200,03/02/2015 12:00:00 AM,14508,41285,47,04    DRIVER'S REPORT,NEW WIPER BLADES.FILL W/ WASH.,10.56,0,10.56
2121,02/24/2015 12:00:00 AM,14605,A97772      ,94,04    DRIVER'S REPORT,STARTER FLUID,10.47,0,10.47
2210,03/02/2015 12:00:00 AM,14597,A22003      ,623,04    DRIVER'S REPORT,NEEDS OIL,10.08,0,10.08
2111,02/27/2015 12:00:00 AM,14481,1400,227,13    SNOW BREAKDOWN,CHECK TAILGATE LOCKS,10,0,10
2135,02/04/2015 12:00:00 AM,14449,512810,50,13    SNOW BREAKDOWN,PLOW BOLTS,10,0,10
2135,02/06/2015 12:00:00 AM,14468,170716,54,13    SNOW BREAKDOWN,MISSING PLOW BOLTS,10,0,10
2135,02/09/2015 12:00:00 AM,14513,170716,54,04    DRIVER'S REPORT,car washclassic 3-dinvoice op-0115$10.00,10,0,10
2600,02/09/2015 12:00:00 AM,14512,B19043      ,2,04    DRIVER'S REPORT,CAR WASHCLASASIC 3-DINVOICE OP-0115$10.00,10,0,10
2600,01/16/2015 12:00:00 AM,14511,B00189      ,1,04    DRIVER'S REPORT,CAR WASHCLASSIC 3-D CAR CAREINVOIC EOP-0115$10.00,10,0,10
2141,03/06/2015 12:00:00 AM,14721,323009,384,04    DRIVER'S REPORT,NEEDS BRASS AIR LINE FITTINGS,10,0,10
2111,01/14/2015 12:00:00 AM,14068,195238,172,04    DRIVER'S REPORT,"SEAT BELT BUZZER KEEP GOING ON WHEN DRIVING, WILL NOT STOP",10,0,10
2111,01/09/2015 12:00:00 AM,14213,525998,217,13    SNOW BREAKDOWN,NEED BOLTS FOR SPINNER SHILD,10,0,10
2111,03/02/2015 12:00:00 AM,14431,525670,232,13    SNOW BREAKDOWN,PLOW BLADE BOLTS,10,0,10
2143,01/13/2015 12:00:00 AM,14245,49618,356,04    DRIVER'S REPORT,3 QTS 15-40 OILSHOP SUPPLYS $20.00,9.78,0,9.78
2111,03/16/2015 12:00:00 AM,14768,68937,144,13    SNOW BREAKDOWN,NEED WIPER BLADES,9.55,0,9.55
2139,03/26/2015 12:00:00 AM,14836,390513,649,04    DRIVER'S REPORT,CHECK HEAD LIGHTS,9.13,0,9.13
2111,03/02/2015 12:00:00 AM,14611,B34629      ,167,40    NEGLIGENCE,LOST KEYS,9,0,9
2111,03/16/2015 12:00:00 AM,14777,1226,117,13    SNOW BREAKDOWN,CHECK ANTIFREEZE LEVEL,9,0,9
2141,02/13/2015 12:00:00 AM,14460,B20086      ,30,13    SNOW BREAKDOWN,NEEDS WASHER FLUID/OIL,8.89,0,8.89
2111,01/30/2015 12:00:00 AM,14375,B34631      ,277,13    SNOW BREAKDOWN,CHECK LIGHTS,8.88,0,8.88
2111,01/28/2015 12:00:00 AM,14384,337658,239,04    DRIVER'S REPORT,PLOW LIGHT BULB,8.88,0,8.88
2141,02/25/2015 12:00:00 AM,14593,A81556      ,391,04    DRIVER'S REPORT,needs headlamp/jim f,8.88,0,8.88
2111,01/09/2015 12:00:00 AM,14214,1468,120,13    SNOW BREAKDOWN,SPINNER LIGHT OUT,8.82,0,8.82
2111,03/06/2015 12:00:00 AM,14570,1225,119,13    SNOW BREAKDOWN,NO SPINNER LIGHT,8.82,0,8.82
2135,02/06/2015 12:00:00 AM,14425,512606,51,13    SNOW BREAKDOWN,PLOW LIGHT OUT,8.77,0,8.77
2200,01/06/2015 12:00:00 AM,14145,212521,46,04    DRIVER'S REPORT,CHECK WIPERS & ADD WINDSHIELD WASHER FLUID,8.74,0,8.74
2111,02/19/2015 12:00:00 AM,14576,621923,211,13    SNOW BREAKDOWN,SPINNER LIGHT,8.5,0,8.5
2111,03/16/2015 12:00:00 AM,14745,621923,211,13    SNOW BREAKDOWN,CHECK WIPER BLADES,8.28,0,8.28
2530,02/06/2015 12:00:00 AM,14435,176729,408,13    SNOW BREAKDOWN,PLOW FLUID LOW,8.1,0,8.1
2530,03/26/2015 12:00:00 AM,14747,176729,408,13    SNOW BREAKDOWN,"CHECK PLOW ASSY , WILL NOT MOVE",8.1,0,8.1
2210,02/04/2015 12:00:00 AM,14447,311542,11,13    SNOW BREAKDOWN,CHECK PLOW FLUIDALIGN PLOW LIGHTS,8.1,0,8.1
2135,02/03/2015 12:00:00 AM,14458,D22892      ,451,04    DRIVER'S REPORT,NEEDS HYD FLUID FOR PLOW/BOB GREEN,8.1,0,8.1
2135,03/06/2015 12:00:00 AM,14645,D12433      ,444,13    SNOW BREAKDOWN,PLOW LOW ON FLUID,8.08,0,8.08
2111,01/23/2015 12:00:00 AM,14314,172539,105,04    DRIVER'S REPORT,CHECK OIL IN PLOW,8.08,0,8.08
2135,02/25/2015 12:00:00 AM,14621,D12433      ,444,04    DRIVER'S REPORT,needs plow fluid/allan,8.08,0,8.08
2135,03/16/2015 12:00:00 AM,14696,D12433      ,444,13    SNOW BREAKDOWN,"CHECK PLOW, WILL NOT GO UP/DOWN OR SIDE TO SIDE",8.08,0,8.08
2135,02/24/2015 12:00:00 AM,14529,D22892      ,451,04    DRIVER'S REPORT,needs plow oil,8.08,0,8.08
2135,03/27/2015 12:00:00 AM,14707,D12433      ,444,13    SNOW BREAKDOWN,CHECK PLOW PUMP FLUID,8.08,0,8.08
2135,01/30/2015 12:00:00 AM,14316,D22892      ,451,04    DRIVER'S REPORT,LEAK ON PLOW PUMP,8.08,0,8.08
2530,02/06/2015 12:00:00 AM,14485,176729,408,04    DRIVER'S REPORT,OIL FOR PLOW,8.08,0,8.08
2111,03/06/2015 12:00:00 AM,14689,1365,244,13    SNOW BREAKDOWN,CHECK/ REPLACE FLAP ON CONVEYOR DOOR,7.83,0,7.83
2143,02/25/2015 12:00:00 AM,14663,50760,362,04    DRIVER'S REPORT,NEEDS HEADLAMP/JIM FMILAGE PER JIM F,7.65,0,7.65
2210,02/24/2015 12:00:00 AM,14581,B20088      ,609,04    DRIVER'S REPORT,"NEEDS 1 QT OIL,WASHER FLUID,PLOW OIL/FRYZE",7.43,0,7.43
2143,02/04/2015 12:00:00 AM,14476,34486,355,04    DRIVER'S REPORT,NEEDS HEADLIGHT,7.42,0,7.42
2135,03/27/2015 12:00:00 AM,14930,172326,521,04    DRIVER'S REPORT,NEEDS WIPER BLADES,7.16,0,7.16
2111,01/30/2015 12:00:00 AM,14405,B39109      ,178,04    DRIVER'S REPORT,N EEDS WIPER BLADES/PETE MARTY,7.16,0,7.16
2111,03/02/2015 12:00:00 AM,14567,621922,212,13    SNOW BREAKDOWN,CONTROL PANEL LOOSE,6.99,0,6.99
2135,01/14/2015 12:00:00 AM,14236,310070,425,04    DRIVER'S REPORT,NEEDS WIPER BLADES,6.46,0,6.46
2135,01/12/2015 12:00:00 AM,14235,242480,428,04    DRIVER'S REPORT,NEEDS WIPER BLADES,6.46,0,6.46
2135,01/05/2015 12:00:00 AM,14160,157526,511,40    NEGLIGENCE,OIL CAP,5.29,0,5.29
3810,01/15/2015 12:00:00 AM,14266,21167,683,04    DRIVER'S REPORT,NEEDS REMOTE BATTERY,5.29,0,5.29
3810,03/26/2015 12:00:00 AM,14667,19676,685,04    DRIVER'S REPORT,BATTERY FOR REMOTE,5.29,0,5.29
2141,02/04/2015 12:00:00 AM,14461,965476,389,04    DRIVER'S REPORT,NO AIR PRESSURE BRKES LOCKED UP,5.11,0,5.11
2135,01/06/2015 12:00:00 AM,13962,735093,,04    DRIVER'S REPORT,SPARK PLUG SMOKING,5,0,5
2143,01/12/2015 12:00:00 AM,14228,50550,357,04    DRIVER'S REPORT,WORK LIGHTS IN REAR NOT WORKING,5,0,5
2111,01/13/2015 12:00:00 AM,14249,555361,249,04    DRIVER'S REPORT,NEEDS WASHERS/PICKED UP BY RICHIE V,5,0,5
2143,03/27/2015 12:00:00 AM,14935,50761,363,04    DRIVER'S REPORT,NEEDS ROCKER SWITCH/JIM,5,0,5
2143,02/06/2015 12:00:00 AM,14494,229004,379,04    DRIVER'S REPORT,NEEDS A QT OF OIL /JIM F,4.85,0,4.85
2135,02/25/2015 12:00:00 AM,14662,169312,424,04    DRIVER'S REPORT,needs a qt of 5w30/jim f,4.85,0,4.85
2135,02/13/2015 12:00:00 AM,14545,172326,521,04    DRIVER'S REPORT,NEEDS WASHER FLUID,4.78,0,4.78
2135,02/19/2015 12:00:00 AM,14499,138675,412,04    DRIVER'S REPORT,L/R TIRE SLOW LEAK,4.5,0,4.5
2143,01/28/2015 12:00:00 AM,14301,228151,378,04    DRIVER'S REPORT,SLOW LEAK RIGHT REAR TIRE,4.5,0,4.5
2141,03/06/2015 12:00:00 AM,14412,B20086      ,30,04    DRIVER'S REPORT,NAIL IN FRONT TIRE,4.5,0,4.5
2143,01/13/2015 12:00:00 AM,14248,901894,377,40    NEGLIGENCE,REPAIR LEFT REAR FENDER,4.49,0,4.49
2111,02/23/2015 12:00:00 AM,14553,555360,115,04    DRIVER'S REPORT,REMOVE SPREADER,4.49,0,4.49
2111,02/04/2015 12:00:00 AM,14426,1400,227,13    SNOW BREAKDOWN,NEEDS WASHER FLUID,3.58,0,3.58
2121,03/02/2015 12:00:00 AM,14706,C95215      ,92,04    DRIVER'S REPORT,NEEDS STARTING FLUID,3.49,0,3.49
2111,01/29/2015 12:00:00 AM,14400,621922,212,04    DRIVER'S REPORT,NEEDS MARKER LITE,3.06,0,3.06
2111,02/04/2015 12:00:00 AM,14478,1365,244,04    DRIVER'S REPORT,NEEDS FUEL LINE AND FUEL FILTER/MIKE KEYACK,3.04,0,3.04
2111,01/09/2015 12:00:00 AM,14209,52565,626,04    DRIVER'S REPORT,NEEDS SIGNAL BULBS /PICKED UP BY MIKE DEMASI,2.92,0,2.92
2111,03/02/2015 12:00:00 AM,14599,68933,148,01    BREAKDOWN            ***,PTO NOT WORKING AGAIN.,2.74,0,2.74
2135,03/02/2015 12:00:00 AM,14326,Y14225      ,482,04    DRIVER'S REPORT,BELTS MAKING NOISE,2.39,0,2.39
2111,03/02/2015 12:00:00 AM,14711,B39109      ,178,04    DRIVER'S REPORT,WASHER FLUID,2.39,0,2.39
2111,02/25/2015 12:00:00 AM,14577,B34631      ,277,13    SNOW BREAKDOWN,NO PLOW LIGHTSWINDOW WASHER FLUID,2.39,0,2.39
2135,03/30/2015 12:00:00 AM,14750,169312,424,13    SNOW BREAKDOWN,CHECK ALL FLUIDS,2.39,0,2.39
2111,02/13/2015 12:00:00 AM,14546,B71794      ,106,04    DRIVER'S REPORT,needs washer fluid,2.39,0,2.39
2111,02/09/2015 12:00:00 AM,14502,621910,209,04    DRIVER'S REPORT,NEEDS WASHER FLUID,1.79,0,1.79
2143,01/07/2015 12:00:00 AM,14198,B90933      ,34,04    DRIVER'S REPORT,WASHER FLUID,1.79,0,1.79
2111,02/17/2015 12:00:00 AM,14437,621921,214,13    SNOW BREAKDOWN,LOW WASHER FLUID,1.79,0,1.79
2135,01/27/2015 12:00:00 AM,14341,512810,50,04    DRIVER'S REPORT,NEEDS WASHER FLUID,1.79,0,1.79
2111,02/06/2015 12:00:00 AM,14497,621908,125,04    DRIVER'S REPORT,needs washer fluid,1.79,0,1.79
2143,01/05/2015 12:00:00 AM,14154,229004,379,04    DRIVER'S REPORT,WASHER FLUID,1.79,0,1.79
2111,01/14/2015 12:00:00 AM,14226,1364,243,04    DRIVER'S REPORT,NEEW WASHER FLUID,1.79,0,1.79
2111,01/14/2015 12:00:00 AM,14217,621923,211,04    DRIVER'S REPORT,HERMAN NEEDS WASHER FLUID,1.79,0,1.79
2111,01/28/2015 12:00:00 AM,14336,574950,215,04    DRIVER'S REPORT,NEEDS WASHER FLUID,1.79,0,1.79
2111,02/04/2015 12:00:00 AM,14413,A01350      ,183,04    DRIVER'S REPORT,NEEDS WASHER FLUID/DOM,1.79,0,1.79
2135,03/27/2015 12:00:00 AM,14791,242480,428,04    DRIVER'S REPORT,WILL NOT START &  CHECK ALL LIGHTS AS NEEDED (ROAD CALL),1.46,0,1.46
2141,01/06/2015 12:00:00 AM,14152,B20086      ,30,04    DRIVER'S REPORT,CHECK R/REAR INDICATOR,1.46,0,1.46
2135,03/16/2015 12:00:00 AM,14783,D00249      ,506,04    DRIVER'S REPORT,NEEDS TAIL LITE BULB,1.46,0,1.46
2143,02/04/2015 12:00:00 AM,14377,45477,347,13    SNOW BREAKDOWN,HYD LEAK BY PLOWBLINKER OUT,1.17,0,1.17
3810,03/27/2015 12:00:00 AM,14800,334569,675,04    DRIVER'S REPORT,WILL NOT START,0,0,0
2111,01/02/2015 12:00:00 AM,14140,B39109      ,178,04    DRIVER'S REPORT,INSTALL SPINNER ASSY,0,0,0
2111,01/03/2015 12:00:00 AM,14163,574950,215,13    SNOW BREAKDOWN,DONT START,0,0,0
2111,01/06/2015 12:00:00 AM,14164,1226,117,13    SNOW BREAKDOWN,HANDLES IN CAB LOOSE,0,0,0
2111,01/06/2015 12:00:00 AM,14165,525999,114,04    DRIVER'S REPORT,NO PLOW LIGHTS,0,0,0
2111,01/06/2015 12:00:00 AM,14172,B34632      ,276,10    ROADCALL,WILL NOT START,0,0,0
2111,01/06/2015 12:00:00 AM,14174,1469,122,10    ROADCALL,WILL NOT START,0,0,0
2111,01/06/2015 12:00:00 AM,14175,68932,147,10    ROADCALL,WILL NOT START,0,0,0
2111,01/06/2015 12:00:00 AM,14176,68933,148,10    ROADCALL,WILL NOT START,0,0,0
2111,01/06/2015 12:00:00 AM,14177,621907,208,10    ROADCALL,WILL NOT START,0,0,0
2111,01/06/2015 12:00:00 AM,14181,337657,218,04    DRIVER'S REPORT,CONVEORY NOT WORKING,0,0,0
2111,01/06/2015 12:00:00 AM,14182,D-1920      ,164,10    ROADCALL,DONT START,0,0,0
2111,01/06/2015 12:00:00 AM,14183,525998,217,10    ROADCALL,DONT START,0,0,0
2111,01/06/2015 12:00:00 AM,14184,526000,225,10    ROADCALL,DONT START,0,0,0
2111,01/06/2015 12:00:00 AM,14185,621921,214,04    DRIVER'S REPORT,CONVORY NOT WORKING,0,0,0
2111,01/07/2015 12:00:00 AM,14188,O01469      ,201,04    DRIVER'S REPORT,needs def/jim f,0,0,0
2111,01/07/2015 12:00:00 AM,14191,B34632      ,276,10    ROADCALL,DONT START,0,0,0
2111,01/13/2015 12:00:00 AM,14203,B34631      ,277,10    ROADCALL,DONT START,0,0,0
2111,01/14/2015 12:00:00 AM,14221,1629,235,13    SNOW BREAKDOWN,CONVOYOR DOOR DONT WORK,0,0,0
2111,01/14/2015 12:00:00 AM,14250,B34631      ,277,10    ROADCALL,DONT START,0,0,0
2111,01/15/2015 12:00:00 AM,14264,68932,147,10    ROADCALL,DONT START,0,0,0
2111,01/15/2015 12:00:00 AM,14267,195238,172,04    DRIVER'S REPORT,2 WAY RADIO INOP,0,0,0
2111,01/20/2015 12:00:00 AM,14193,621909,213,04    DRIVER'S REPORT,SIDE DUMP VALVE STICKING,0,0,0
2111,01/21/2015 12:00:00 AM,14286,273777,221,04    DRIVER'S REPORT,SPRAY SYS NOT WORKING,0,0,0
2111,01/24/2015 12:00:00 AM,14319,1469,122,13    SNOW BREAKDOWN,DONT START,0,0,0
2111,01/30/2015 12:00:00 AM,14320,68934,146,13    SNOW BREAKDOWN,DONT START,0,0,0
2111,01/30/2015 12:00:00 AM,14343,1222,118,13    SNOW BREAKDOWN,PLOW HANDLE LOOSE,0,0,0
2111,01/30/2015 12:00:00 AM,14345,621923,211,13    SNOW BREAKDOWN,SPINNER DONT WORK,0,0,0
2111,01/30/2015 12:00:00 AM,14351,68936,145,13    SNOW BREAKDOWN,GAS IN FUEL TANKHYD LINES UNDER CABSTROB LIGHTS,0,0,0
2111,01/30/2015 12:00:00 AM,14353,1403,226,13    SNOW BREAKDOWN,CHECK CAB LIGHTS,0,0,0
2111,01/30/2015 12:00:00 AM,14374,526000,225,04    DRIVER'S REPORT,CHECK PLOW LIGHTSAIR LEAKI IN CAB.,0,0,0
2111,02/01/2015 12:00:00 AM,14420,1402,228,13    SNOW BREAKDOWN,NO WIPERS,0,0,0
2111,02/04/2015 12:00:00 AM,14355,68935,149,13    SNOW BREAKDOWN,DICKY JOHN SYS NO GOOD,0,0,0
2111,02/04/2015 12:00:00 AM,14367,337658,239,13    SNOW BREAKDOWN,TRUCK DONT START,0,0,0
2111,02/04/2015 12:00:00 AM,14368,B34629      ,167,13    SNOW BREAKDOWN,PLOW WONT GO UP,0,0,0
2111,02/04/2015 12:00:00 AM,14421,68934,146,13    SNOW BREAKDOWN,DONT START,0,0,0
2111,02/04/2015 12:00:00 AM,14423,68933,140,13    SNOW BREAKDOWN,TAIL GATE WONT CLOSE,0,0,0
2111,02/06/2015 12:00:00 AM,14489,621923,211,40    NEGLIGENCE,SPINNER BENT,0,0,0
2111,02/09/2015 12:00:00 AM,14509,313183,10,10    ROADCALL,ROAD CALL DEAD BATTERY,0,0,0
2111,02/10/2015 12:00:00 AM,14342,1400,277,13    SNOW BREAKDOWN,HYD NOT WORKING,0,0,0
2111,02/11/2015 12:00:00 AM,14543,621924,210,04    DRIVER'S REPORT,L/S PLOW LIGHT INOP,0,0,0
2111,02/13/2015 12:00:00 AM,14524,1467,121,13    SNOW BREAKDOWN,PLOW CABLE,0,0,0
2111,02/13/2015 12:00:00 AM,14542,Y11540      ,186,13    SNOW BREAKDOWN,ROAD CALL TO BEDFORD ST CHECK BUCKET CONTROLS,0,0,0
2111,02/13/2015 12:00:00 AM,14555,555361,249,10    ROADCALL,WILL NOT START AT HIGHWAYS,0,0,0
2111,02/13/2015 12:00:00 AM,14558,555360,115,04    DRIVER'S REPORT,REMOVE SANDER,0,0,0
2111,02/19/2015 12:00:00 AM,14470,B34632      ,276,04    DRIVER'S REPORT,NO START,0,0,0
2111,02/23/2015 12:00:00 AM,14146,526000,225,04    DRIVER'S REPORT,WILL NOT TURN OVER ( CHECK STARTING SYSTEM),0,0,0
2111,02/24/2015 12:00:00 AM,14396,B34631      ,277,04    DRIVER'S REPORT,2 WAY RADIO LOOSE,0,0,0
2111,02/24/2015 12:00:00 AM,14422,337655,234,13    SNOW BREAKDOWN,NO PLOW LIGHTS,0,0,0
2111,02/24/2015 12:00:00 AM,14556,555360,115,10    ROADCALL,WILL NOT START.,0,0,0
2111,02/24/2015 12:00:00 AM,14578,1628,236,13    SNOW BREAKDOWN,NO PTO,0,0,0
