Dept,JobDate,jobno,Vehicleid,UnitNo,Reason,Notes,CostParts,CostLabor,CostTotal
3810,01/20/2015 12:00:00 AM,14272,D59888      ,693,08    PM SERVICE              ***,SERVICEBATTERY,143.69,0,143.69
2111,01/14/2015 12:00:00 AM,14222,D-1920      ,164,13    SNOW BREAKDOWN,CHECK ALL LIGHTSCHECK HORNWASHERS,142.55,0,142.55
2111,01/14/2015 12:00:00 AM,14131,B34629      ,167,04    DRIVER'S REPORT,INSTALL SPINNER ASSY,140,0,140
2135,01/05/2015 12:00:00 AM,14159,145595,60,08    PM SERVICE              ***,CHECK BATTERYPM SERVICE,137.43,0,137.43
2116,01/02/2015 12:00:00 AM,13680,82039,261,04    DRIVER'S REPORT,HYD OIL LEAK AT VAC MOTOR.,134.84,0,134.84
2111,02/04/2015 12:00:00 AM,14361,555360,115,13    SNOW BREAKDOWN,PUT SPINNER ON,129.66,0,129.66
2111,01/30/2015 12:00:00 AM,14328,1227,241,04    DRIVER'S REPORT,SPINNER LIGHTADJ CONVOYOR,128.15,0,128.15
2111,02/03/2015 12:00:00 AM,14446,621922,212,04    DRIVER'S REPORT,SPINNER LIGHT,128.15,0,128.15
2111,02/04/2015 12:00:00 AM,14338,1628,236,13    SNOW BREAKDOWN,CHECK BACK LIGHTS,125.68,0,125.68
2143,03/30/2015 12:00:00 AM,14549,27143,369,04    DRIVER'S REPORT,PTO BUTTON STILL POPS OUT COLDSMELLS EXHAUST IN CAB,124.82,0,124.82
2137,02/24/2015 12:00:00 AM,14527,579107,16,04    DRIVER'S REPORT,PM SERVICE,123.52,0,123.52
2135,01/14/2015 12:00:00 AM,14204,172326,521,40    NEGLIGENCE,sunvisor broke/taken by rob o,119.6,0,119.6
2135,01/14/2015 12:00:00 AM,14210,D00249      ,506,04    DRIVER'S REPORT,ENGINE LIGHT ON ENGINE MISSFIRE,119.44,0,119.44
2135,03/16/2015 12:00:00 AM,14782,Y14264      ,531,04    DRIVER'S REPORT,NEEDS WORKLITE BULB/AND PLUG/ROB,116.73,0,116.73
2111,01/30/2015 12:00:00 AM,14360,1629,235,13    SNOW BREAKDOWN,CONVOYOR STAYS ON,115.03,0,115.03
2111,03/02/2015 12:00:00 AM,14633,766153,248,13    SNOW BREAKDOWN,PLOW CABLE BROKEN,110,0,110
2111,01/13/2015 12:00:00 AM,14216,1402,228,04    DRIVER'S REPORT,"COOLANT LEAK SPINNER LIGHT OUTWIPER BLADES,WASHER HOSE BROKENCHECK BRAKE PEDDLE",109.4,0,109.4
2135,03/30/2015 12:00:00 AM,14303,512810,50,07    IN SERVICE (PREP NEW VEHICLE OR EQUIP),INSERVICE,108.59,0,108.59
2143,03/24/2015 12:00:00 AM,14913,50551,361,04    DRIVER'S REPORT,DEF CAP FROM SANITARY,105,0,105
2143,01/06/2015 12:00:00 AM,14162,50552,359,04    DRIVER'S REPORT,RT SIDE BLINKER OUT HARD STARTINGRT WINDSHIELD BROKEN,104.7,0,104.7
2139,03/26/2015 12:00:00 AM,14871,B00195      ,646,04    DRIVER'S REPORT,"PM,SERVICE,CHECK NOISE IN SUSPENSION, & TIRE PRESSURE LIGHT",103.84,0,103.84
2111,02/13/2015 12:00:00 AM,14534,525670,232,13    SNOW BREAKDOWN,SPINNER LIGHT,103.15,0,103.15
2111,02/24/2015 12:00:00 AM,14539,621909,213,04    DRIVER'S REPORT,needs sander spot light /shaky,103.15,0,103.15
2111,01/21/2015 12:00:00 AM,14292,B34630      ,168,01    BREAKDOWN            ***,BREAKDOWN ON NEWFIELD AVE.O'NEILLS TOWED UNIT BACK TO VEHICLE MAINTENANCE,100,0,100
2143,02/18/2015 12:00:00 AM,14603,4830,354,29    ACCIDENT,UNIT WAS TOWED FROM COURTLAND AVE TO VEHICLE MAINTENANCEUNIT WAS INVOLVED IN AN ACCIDENTEAST COAST TOWINGINVOICE #14519$100.00,100,0,100
2111,01/30/2015 12:00:00 AM,14321,68934,146,13    SNOW BREAKDOWN,HYDRA LEAK,99.5,0,99.5
2111,01/14/2015 12:00:00 AM,14219,B39110      ,620,13    SNOW BREAKDOWN,SIDE DUMP HYD HOSE BLOWN,98.08,0,98.08
2111,01/27/2015 12:00:00 AM,14378,B39110      ,620,13    SNOW BREAKDOWN,RIGHT PLOW LIGHT BROKEN,97.69,0,97.69
2135,01/20/2015 12:00:00 AM,14259,16172,499,04    DRIVER'S REPORT,FLAT TIRE RIGHT SIDE,95,0,95
2111,01/28/2015 12:00:00 AM,14311,D-1920      ,164,10    ROADCALL,DONT STARTCHECK LEAK ON BROOM MOTOR,93.86,0,93.86
2111,03/27/2015 12:00:00 AM,14712,B39109      ,178,13    SNOW BREAKDOWN,"CHECK BROKEN PLOW LIGHT, L/FRONT FLAT TIRE, ALSO NEED WASHER FLUID  INSTALL PLOW LITE",90.61,0,90.61
2111,02/27/2015 12:00:00 AM,14623,1222,118,13    SNOW BREAKDOWN,LOW COOLANT,89.18,0,89.18
2143,01/20/2015 12:00:00 AM,14278,5694,368,04    DRIVER'S REPORT,HYD LEAK [FORKS],88.68,0,88.68
2143,01/07/2015 12:00:00 AM,14178,228151,378,08    PM SERVICE              ***,SERVICE,88.18,0,88.18
2137,03/02/2015 12:00:00 AM,14604,579119,24,08    PM SERVICE              ***,PM SERVICECHECK BRAKESREPLACE WIPERS,86.91,0,86.91
2111,02/04/2015 12:00:00 AM,14340,1403,226,13    SNOW BREAKDOWN,TRUCK IS NOT RUNNING RIGHT.,82.09,0,82.09
2143,01/20/2015 12:00:00 AM,14280,48877,373,10    ROADCALL,ROAD CALL TO TRANSFER STATIONHYD LEAK,81.91,0,81.91
2111,03/30/2015 12:00:00 AM,14370,68932,147,13    SNOW BREAKDOWN,PLOW GUIDES,81.48,0,81.48
2111,03/16/2015 12:00:00 AM,14464,1364,243,04    DRIVER'S REPORT,CAB AIR RIDE INOPRIGHT SIDE POWER MIRROR INOP,81.32,0,81.32
2139,01/30/2015 12:00:00 AM,14330,103885,647,04    DRIVER'S REPORT,PUT ON TIRE CHANIS,80.85,0,80.85
2111,02/04/2015 12:00:00 AM,14350,1402,228,13    SNOW BREAKDOWN,ANTI FREEZE SMELLGAS TANK STRAP,80,0,80
2111,02/24/2015 12:00:00 AM,14616,393534,206,10    ROADCALL,ROAD CALL TO HIGHWAYNO START,79.93,0,79.93
2530,03/16/2015 12:00:00 AM,14584,176729,408,13    SNOW BREAKDOWN,HYD LEAK,76.06,0,76.06
3810,01/02/2015 12:00:00 AM,14016,195676,674,04    DRIVER'S REPORT,CHECK CHARGING SYSTEM,74.71,0,74.71
2111,02/19/2015 12:00:00 AM,14566,525999,114,13    SNOW BREAKDOWN,HYD LEAK,73.66,0,73.66
2111,02/24/2015 12:00:00 AM,14358,1628,236,13    SNOW BREAKDOWN,WIPER BLADESREV LIGHTSSPRING FOR COVOYOR ADJUSTER,71.32,0,71.32
2111,02/17/2015 12:00:00 AM,14587,337655,234,40    NEGLIGENCE,RIGHT SIDE FRONT HUB CAPRIGHT SIDE MIRROR BRACKET,71,0,71
2143,01/13/2015 12:00:00 AM,14036,50903,353,04    DRIVER'S REPORT,UPPER LEFT HYDRA HOSE ON BLADE LEAKING,69.75,0,69.75
2143,01/20/2015 12:00:00 AM,14275,50903,353,04    DRIVER'S REPORT,HYD LEAK IN HOPPER,69.2,0,69.2
2143,01/09/2015 12:00:00 AM,14218,5694,368,04    DRIVER'S REPORT,4 QTS MOTOR OIL1 GAL COOLANTGREASESHOP SUPPLYS,67.04,0,67.04
2111,03/02/2015 12:00:00 AM,14591,265908,274,10    ROADCALL,ROAD CALL TO HIGHWAY DEPTNO STARTCHECK ENG LIGHT ON,67.02,0,67.02
2111,02/24/2015 12:00:00 AM,14533,313183,10,04    DRIVER'S REPORT,PM SERVICESCHECK TIRES FOR LEAKSCHECK PLOWBATTERY,66.83,0,66.83
2111,02/24/2015 12:00:00 AM,14364,1758,123,13    SNOW BREAKDOWN,WIPER BLADESCONVOYOR DOOR REPAIR,65.94,0,65.94
2143,03/02/2015 12:00:00 AM,14651,27143,369,04    DRIVER'S REPORT,CHECK BRAKES,65.64,0,65.64
2111,02/23/2015 12:00:00 AM,14648,525672,231,04    DRIVER'S REPORT,NEEDS FLOORMATTS/DAVE P,65.07,0,65.07
2111,01/07/2015 12:00:00 AM,14190,337656,219,04    DRIVER'S REPORT,NEEDS FLOOR MATTS,65.07,0,65.07
2139,01/14/2015 12:00:00 AM,14179,166478,68,04    DRIVER'S REPORT,WILL NOT START,64.75,0,64.75
